	id	size	size	sex	height	weight	x2d	y2d	x3d	y3d	z3d
7641	1612	1	0.0	M	180	85.0	0.599403	0.220788	-91.14329409208656	-73.78983662546446	-28.632759440770577
3269	1621	2	0.034483	M	177	73.0	0.53871	0.333021	-91.51409728482648	-71.9327461627951	-23.734487894400626
3753	1625	1	0.0	M	172	62.0	0.596909	0.319289	-91.51409728482646	-71.9327461627951	-23.734487894400626
8589	1626	1	0.0	M	192	98.0	0.647074	0.217151	55.70141937620116	-30.054921101658007	-3.694760822782748
3754	1627	1	0.0	M			0.656498	0.656796	53.3248688583118	-30.102587080182825	-5.523550404375042
7642	1629	1	0.0	M	180	68.0	0.80243	0.594899	-33.75047258873843	50.756629980748734	4.246087443926778
11748	1639	10	0.310345	F	160	55.0	0.507053	0.113524	-28.277178393788866	17.421281959811385	7.740850225910485
17414	1648	2	0.034483	M	180	72.0	0.850344	0.23957	-60.54342781685062	19.548214346693545	33.41007754118119
11749	1656	3	0.068966	F	163	59.0	0.262832	0.201046	-24.870798404436588	25.408001027226394	16.344201484665273
4564	1671	3	0.068966	M	172	70.0	0.644353	0.710904	-79.68253271533463	-29.73088500404295	38.05238644916043
6909	1675	2	0.034483	M	175	63.0	0.341993	0.75656	-75.10224636055841	-27.586263244783368	43.48620804208896
17415	1743	1	0.0	F	168	60.0	0.503668	0.957082	-84.30488454117408	-25.406184497052166	36.56718431770174
13147	2213	1	0.0	M	175	78.0	0.336333	0.864796	-82.72189899433673	-29.97711329525845	39.68500426256094
11750	2218	1	0.0	M			0.17553	0.310413	-81.92833402328473	-25.358518518527344	38.39597389929403
13148	2219	1	0.0	M			0.159148	0.300385	-78.23193815048649	-26.81860681322968	41.873633323036834
4565	2254	1	0.0	M	170	68.0	0.298728	0.385129	-52.567946200634694	61.11518089852515	58.77450427059559
11751	2267	1	0.0	M	187	97.0	0.644905	0.16318	-41.87346887013264	61.329677801886845	67.00405738776092
10887	2274	1	0.0	M	182	85.0	0.739919	0.774392	-94.0716432015986	-72.6349856346726	1.15130124025377
3270	2275	3	0.068966	M	174	67.0	0.640356	0.376282	-58.98323106428332	-34.73759372093116	-2.711091660460806
8590	2296	12	0.37931	M	187	84.0	0.741555	0.253623	-14.722032912494562	-9.384602527628894	-13.534268055889106
11752	2308	1	0.0	M	186	87.0	0.656486	0.849401	-46.313784882682704	29.580918080223306	23.48736522307978
11753	2328	2	0.034483	M	186	90.0	0.554696	0.887472	-47.19724658220676	39.69558367726556	36.70165189620015
4	2329	1	0.0	M			0.484307	0.533256	-47.81756808980235	46.74707474932869	51.38488867202921
14543	2332	3	0.068966	F	155	47.0	0.514594	0.102086	-53.19646299907242	47.73759220232548	49.4691779130467
3271	2337	4	0.103448	M	174	75.0	0.305438	0.454744	-50.36112411083982	49.193140099772464	51.83122582650205
2646	2344	1	0.0	M			0.605438	0.654378	-57.80351458725628	47.02646989780831	49.716223578669776
10888	2348	3	0.068966	M	170	75.0	0.113332	0.381934	-26.956259510791124	47.81736402756215	23.044349694148025
11754	2361	9	0.275862	M	178	61.0	0.271957	0.829404	-47.28938190729215	-22.748074540091395	-8.050118720292552
14544	2366	3	0.068966	M	183	89.0	0.110267	0.383904	-57.56725636794388	-35.866399219294756	-28.499234601023062
13149	2370	2	0.034483	M	193	93.0	0.540897	0.908457	-91.70032313165842	-86.11542359910436	-27.929770391636907
13150	2373	3	0.068966	M	181	72.0	0.106485	0.398535	55.2095148067456	-42.53644336907572	-25.79341111556783
6910	2378	3	0.068966	F	165	57.0	0.208231	0.56855	55.0232995303196	-42.240912532630546	-23.633289504203972
9571	2379	14	0.448276	F	175	64.0	0.869892	0.522627	-6.424600519143259	-58.802518156014976	-13.636239442282092
2102	2382	1	0.0	F			0.653221	0.476101	-34.969264242248066	68.32458556407809	15.138858702431042
6089	2383	1	0.0	M	175	72.0	0.577111	0.763619	-38.534090019082086	68.25308659629086	12.395674330042599
2103	2386	2	0.034483	F			0.64359	0.594541	-35.5634018717204	68.31266906944688	14.681661307032968
13151	2409	2	0.034483	F	170	68.0	0.33013	0.873467	-41.612609835887596	67.66967417062097	11.25201926035717
13152	2414	17	0.551724	F	169	69.0	0.219652	0.200259	-33.04925797129141	20.809505177093797	0.5436709533410806
17416	2416	1	0.0	F	168	57.0	0.867512	0.780633	-93.86189089325077	-79.97456624399886	1.1486627373219576
5	2431	1	0.0	M			0.498034	0.488014	-97.42671667008479	-80.0460652117861	-1.5945216350664841
9572	2436	3	0.068966	M			0.709984	0.236475	-94.84051158838247	-79.86756435657726	2.620365777355365
9573	2437	4	0.103448	F			0.848919	0.487512	-95.67322265704841	-79.57349866155548	3.746471046647021
2104	2444	3	0.068966	M			0.628411	0.399273	-96.27677799890508	-79.26716917789236	4.691229193888405
9574	2445	1	0.0	M	170	70.0	0.787818	0.710747	-93.2318916090132	-78.77640692954205	8.674792435764747
6090	2473	1	0.0	M	168	69.0	0.59716	0.761854	-97.98499264479189	-78.87173888659169	5.017213272580159
14545	2484	1	0.0	M	176	95.0	0.732276	0.845893	-5.796695569623534	72.88984717803558	-33.855312720603365
3272	2486	3	0.068966	M	180	81.0	0.576528	0.712216	-54.46111806456391	20.95465281979051	24.223389129931206
7643	2487	2	0.034483	M	178	89.0	0.624777	0.2279	-43.88636592363068	47.94857544484307	29.596909540740693
14546	2491	1	0.0	F	172	67.0	0.585986	0.905606	-44.21556559377238	61.175448829651174	7.6377335818760805
11755	2505	1	0.0	M	188	85.0	0.779591	0.761238	-38.27418929904902	61.29461377596323	12.209707535856817
8591	2507	1	0.0	M	182	84.0	0.523001	0.833811	-33.52108826327033	61.389945733012866	15.867286699041404
13153	2514	1	0.0	F	154	47.0	0.585214	0.892891	-42.2750754760793	25.922068138818865	16.691887886004718
8592	2518	1	0.0	M			0.822007	0.588277	-49.59020259703148	26.65006867140731	13.6283808997018
9575	2521	5	0.137931	F	165	57.0	0.49115	0.161916	-1.7315935931771869	42.33334141999757	-20.1844706264085
17417	2551	6	0.172414	M	185	92.0	0.053681	0.386275	-53.30526336031452	-14.81268921336671	-12.196774848289929
14547	2577	1	0.0	M	182	92.0	0.579317	0.107972	-63.10630397018893	18.92322580716614	35.0687093377404
15982	2578	6	0.172414	M	180	64.0	0.247995	0.874961	-7.592327297932197	23.47221934349606	-29.469703590279114
5404	2595	2	0.034483	M	180	79.0	0.260464	0.414247	-80.1439257718887	-33.098325515938356	27.495349254804253
13154	2596	1	0.0	M	190	110.0	0.639297	0.140279	-80.84589507080487	-33.63407196308343	28.180483766711117
11756	2639	5	0.137931	M	182	92.0	0.671689	0.885454	-89.38719577404552	-81.51220055808861	-20.056137857349256
10889	2649	1	0.0	M	178	77.0	0.646981	0.830758	-89.74239551531905	-92.40719909905089	-26.452409401760246
6911	2737	3	0.068966	M			0.420823	0.234169	-33.06596683772826	-47.44548329010461	-4.628072350448048
10890	2748	1	0.0	M	188	79.0	0.746611	0.767938	54.08734009692607	-45.42131767597595	-37.49049097562287
11757	2767	4	0.103448	F	169	60.0	0.260393	0.186325	55.13628676766507	-44.91687612510668	-34.83777191010428
8593	2773	1	0.0	M	185	100.0	0.654618	0.220938	-92.85805302606536	-58.00769436147633	-38.10754667636969
